name,culture,location,gender,species,type,linkwik,linkgc,lon,lat,picture
Hel,Norse,Finland,Female,Human,Death,http://en.wikipedia.org/wiki/Hel_(being),http://www.godchecker.com/pantheon/norse-mythology.php?deity=HEL,17.993868,68.567391,norse/hel-01.png
Freya,Norse,Finland,Female,Human,Love,http://en.wikipedia.org/wiki/Freyja,http://www.godchecker.com/pantheon/norse-mythology.php?deity=FREYA,16.435927,68.563205,norse/freya-01.png
Mani,Norse,Finland,Male,Human,Moon,http://en.wikipedia.org/wiki/M%C3%A1ni,http://www.godchecker.com/pantheon/norse-mythology.php?deity=MANI,12.089991,54.800015,norse/mani-01.png
Aegir,Norse,Sweden,Male,Human,Sea,http://en.wikipedia.org/wiki/%C3%86gir,http://www.godchecker.com/pantheon/norse-mythology.php?deity=AEGIR,14.666681,56.200885,norse/aegir-01.png
Thor,Norse,Denmark,Male,Human,Storm,http://en.wikipedia.org/wiki/Thor,http://www.godchecker.com/pantheon/norse-mythology.php?deity=THOR,23.56588,66.396051,norse/thor-01.png
Sol,Norse,Denmark,Female,Human,Sun,http://en.wikipedia.org/wiki/S%C3%B3l_(sun),http://www.godchecker.com/pantheon/norse-mythology.php?deity=SOL,18.660278,57.929434,norse/sol-01.png
Tyr,Norse,Norway,Male,Human,War,http://en.wikipedia.org/wiki/T%C3%BDr,http://www.godchecker.com/pantheon/norse-mythology.php?deity=TYR,22.869695,59.846373,norse/tyr-01.png
Odin,Norse,Norway,Male,Human,Wisdom,http://en.wikipedia.org/wiki/Odin,http://www.godchecker.com/pantheon/norse-mythology.php?deity=ODIN,26.179622,69.825299,norse/odin-01.png
Oshun,Yoruba,Nigeria,Female,Human,Love,http://en.wikipedia.org/wiki/Oshun,http://www.godchecker.com/pantheon/african-mythology.php?deity=OSHUN,3.60007,10.332186,yoruba/oshun-01.png
Yemoja,Yoruba,Nigeria,Female,Human,Sea,http://en.wikipedia.org/wiki/Yemoja,http://www.godchecker.com/pantheon/african-mythology.php?deity=YEMAYA,9.014933,12.826659,yoruba/yemoja-01.png
Olorun,Yoruba,Nigeria,Male,Human,Sky,http://en.wikipedia.org/wiki/Olorun,http://www.godchecker.com/pantheon/african-mythology.php?deity=OLORUN,14.181336,12.483657,yoruba/olorun-01.png
Shango,Yoruba,Nigeria,Male,Human,Storm,http://en.wikipedia.org/wiki/Shango,http://www.godchecker.com/pantheon/african-mythology.php?deity=SHANGO,13.1676,9.640626,yoruba/shango-01.png
Ogun,Yoruba,Nigeria,Male,Human,War,http://en.wikipedia.org/wiki/Ogun,http://www.godchecker.com/pantheon/african-mythology.php?deity=OGUN,11.058788,6.644427,yoruba/ogun-01.png
OrunMila,Yoruba,Nigeria,Male,Human,Wisdom,http://en.wikipedia.org/wiki/Orunmila,http://www.godchecker.com/pantheon/african-mythology.php?deity=ORUNMILA,8.500288,4.771983,yoruba/orunmila-01.png
